Employee_ID,Name,Age,Gender,Department,Job_Role,Education,Experience_Years,Salary,Performance_Rating,Marital_Status,Attrition,Joining_Date,City
EMP0001,Employee 1,29,Male,Operations,Operations Executive,Diploma,3,31319,4,Single,No,2021-01-31,Pune
EMP0002,Employee 2,56,Male,Sales,Account Manager,Bachelor's,6,48623,4,Married,No,2023-09-01,Pune
EMP0003,Employee 3,42,Male,HR,HR Executive,Master's,13,76649,1,Married,Yes,2021-02-12,Hyderabad
EMP0004,Employee 4,45,Male,Marketing,SEO Specialist,Diploma,8,49423,5,Married,No,2023-02-25,Delhi
EMP0005,Employee 5,39,Male,HR,HR Executive,Bachelor's,2,28501,4,Married,No,2025-06-01,Bengaluru
EMP0006,Employee 6,38,Male,Operations,Operations Executive,Diploma,11,63829,2,Single,No,2022-02-25,Bengaluru
EMP0007,Employee 7,24,Male,Finance,Financial Analyst,Master's,8,55196,4,Married,No,2025-09-05,Pune
EMP0008,Employee 8,46,Female,HR,HR Executive,Master's,18,93311,2,Single,No,2020-05-20,Delhi
EMP0009,Employee 9,35,Male,Marketing,SEO Specialist,Bachelor's,8,62038,1,Single,No,2024-07-18,Mumbai
EMP0010,Employee 10,45,Female,Operations,Coordinator,Diploma,5,51333,1,Single,Yes,2024-09-08,Delhi
EMP0011,Employee 11,31,Female,IT,Data Analyst,Diploma,20,101146,3,Single,No,2019-04-02,Delhi
EMP0012,Employee 12,33,Male,Sales,Account Manager,Bachelor's,20,99779,5,Single,No,2025-03-02,Delhi
EMP0013,Employee 13,40,Male,IT,Data Analyst,Bachelor's,15,73138,5,Single,No,2019-04-04,Pune
EMP0014,Employee 14,29,Female,Operations,Operations Executive,Master's,15,74767,5,Married,No,2023-12-22,Mumbai
EMP0015,Employee 15,44,Female,Marketing,SEO Specialist,Bachelor's,6,51214,2,Single,No,2022-06-23,Pune
EMP0016,Employee 16,25,Male,IT,Data Analyst,Bachelor's,0,27540,1,Married,No,2024-08-07,Pune
